"TIME","REF"
"s","null"
0.0227500,3.276614
0.0230000,3.272355
0.0232500,3.267770
0.0235000,3.263158
0.0237500,3.258715
0.0240000,3.253916
0.0242500,3.249481
0.0245000,3.245402
0.0247500,3.241273
0.0250000,3.237258
0.0252500,3.233539
0.0255000,3.228864
0.0257500,3.224285
0.0260000,3.221098
0.0262500,3.214714
0.0265000,3.212974
0.0267500,3.207137
0.0270000,3.201580
0.0272500,3.202904
0.0275000,3.187806
0.0277500,3.198319
0.0280000,3.179726
0.0282500,3.183172
0.0285000,3.185364
0.0287500,3.153749
0.0290000,3.200179
0.0292500,3.127360
0.0295000,3.195556
0.0297500,3.137822
0.0300000,3.144892
0.0302500,3.258221
0.0305000,3.022821
0.0307500,3.475619
0.0310000,2.127637
0.0312500,-0.520940
0.0315000,-0.635648
0.0317500,-0.466587
0.0320000,-0.654180
0.0322500,-0.486734
0.0325000,-0.607673
0.0327500,-0.537224
0.0330000,-0.558725
0.0332500,-0.569919
0.0335000,-0.538346
0.0337500,-0.572490
0.0340000,-0.542543
0.0342500,-0.559906
0.0345000,-0.552012
0.0347500,-0.549842
0.0350000,-0.554737
0.0352500,-0.547400
0.0355000,-0.551525
0.0357500,-0.548095
0.0360000,-0.547878
0.0362500,-0.547631
0.0365000,-0.545940
0.0367500,-0.545782
0.0370000,-0.544439
0.0372500,-0.543152
0.0375000,-0.542213
0.0377500,-0.541448
0.0380000,-0.540651
0.0382500,-0.539826
0.0385000,-0.539113
0.0387500,-0.538190
0.0390000,-0.537487
0.0392500,-0.536732
0.0395000,-0.535844
0.0397500,-0.535205
0.0400000,-0.534311
0.0402500,-0.533594
0.0405000,-0.532782
0.0407500,-0.531941
0.0410000,-0.531350
0.0412500,-0.530331
0.0415000,-0.529760
0.0417500,-0.528994
0.0420000,-0.528018
0.0422500,-0.527537
0.0425000,-0.526539
0.0427500,-0.525865
0.0430000,-0.525219
0.0432500,-0.524241
0.0435000,-0.523686
0.0437500,-0.522855
0.0440000,-0.522058
0.0442500,-0.521379
0.0445000,-0.520584
0.0447500,-0.519845
0.0450000,-0.519086
0.0452500,-0.518394
0.0455000,-0.517583
0.0457500,-0.516920
0.0460000,-0.516150
